Collection,DOIs,Licenses,Subjects,Studies,Series,Images,File Size,Disk Space,Body Parts,Modalities,Manufacturers,Min DateReleased,Max DateReleased,UniqueDateReleased
ACRIN-NSCLC-FDG-PET,https://doi.org/10.7937/tcia.2019.30ilqfcl,Creative Commons Attribution 3.0 Unported License,242,950,3377,497367,145495139530,145.50 GB,"Not Specified, CHEST, ABDOMEN, CHESTABDOMEN, THORAX, BRAIN W/WO_AH32, OUTSIDE FIL, ABDOMENPELVIS, CHEST (THORAX) , CHESTABDPELVIS, HEAD","PT, CT, MR, CR, DX, NM, SC","GE MEDICAL SYSTEMS, Philips, CPS, SIEMENS, Philips Medical Systems / MIMvista, Philips / MIMvista, Siemens, TOSHIBA, Philips Medical Systems, GE MEDICAL SYSTEMS / MIMvista, SIEMENS / MIMvista, Not Specified, DIRECT RADIOGRAPHY CORP, McKesson Medical Imaging Group, Vital Images, Inc, KODAK, SIEMENS NM, FUJI PHOTO FILM Co., ltd., Barco, Agfa, ""GE Healthcare"", GE MEDICAL SYSTEMS, NUCLEAR, GEMS",2018-12-06 13:16:50,2020-01-24 15:56:49,"2018-12-06, 2018-12-07, 2018-12-10, 2018-12-12, 2018-12-13, 2018-12-17, 2018-12-26, 2018-12-27, 2020-01-22, 2020-01-24"
AHEP0731,"https://doi.org/10.7937/f2db-8826, https://doi.org/10.7937/bdbn-nq81,  https://doi.org/10.7937/f2db-8826",NCTN Data Archive License,190,855,6387,418392,220890782040,220.89 GB,"CHEST, Not Specified, ABDOMEN, CHESTABDPELVIS, NECK, HEAD, ABDOMENPELVIS, LIVER, CHESTABDOMEN, LSPINE, HIP, GALLBLADDER, BRAIN","CT, MR, US, RTSTRUCT, PT, XA","SIEMENS, Vital Images, Inc, TOSHIBA, GE MEDICAL SYSTEMS, Philips, Philips Medical Systems, TOSHIBA_MEC, GE Healthcare, ACUSON, GE Medical Systems, Siemens, Siemens Medical Systems - Ultrasound Division, Barco, ATL, Open Health Imaging Foundation, MPTronic software, TERARECON, SIEMENS Ultrasound, AMICAS Inc., Philips Healthcare, ZONARE",2020-11-17 11:58:42,2024-10-18 17:33:32,"2020-11-17, 2020-11-20, 2020-11-24, 2020-12-02, 2023-12-28, 2024-08-15, 2024-08-21, 2024-10-06, 2024-10-18"
AHOD0831,"https://doi.org/10.7937/cv5m-1h59, https://doi.org/10.7937/4qad-4280",NCTN Data Archive License,165,1650,13366,1102909,450250756284,450.25 GB,"Not Specified, ABDOMEN, NECK, WHOLEBODY, CHEST, SPINE, PELVIS, ABDOMENPELVIS, HEAD, CHESTABDPELVIS, NA, CHESTABDOMEN, NECKCHESTABDPELV, TORSO, TSPINE, HIP, FEMUR, HEADNECK","CT, PT, MR, NM, CR, DX, SC, XA, OT, RTSTRUCT","GE MEDICAL SYSTEMS, SIEMENS, Philips, CPS, Philips Medical Systems, Siemens, GE MEDICAL SYSTEMS / MIMvista, TOSHIBA, ECAT, CPS / MIM Software, Marconi Medical Systems, NM Division, CPS / MIMvista, ""GE Healthcare"", Agfa, FUJIFILM Corporation, AGFA, Agfa-Gevaert AG, KODAK, SIEMENS NM, FUJI PHOTO FILM Co., ltd., Not Specified, SIEMENS / MIMvista, Canon Inc., ICON DM, McKesson Medical Imaging Group, Philips Medical Systems / MIMvista, Philips / MIMvista, MIMvista Corp, GE MEDICAL SYSTEMS, NUCLEAR, Barco, GEMS, CARESTREAM HEALTH, Open Health Imaging Foundation",2022-05-13 19:41:02,2023-02-10 09:27:07,"2022-05-13, 2022-05-14, 2022-05-16, 2022-05-17, 2022-05-18, 2022-05-19, 2022-05-23, 2022-05-24, 2022-05-26, 2023-02-10"
APOLLO-1-Pilot,Not Specified,Creative Commons Attribution 3.0 Unported License,48,243,1443,191158,85334089644,85.33 GB,"Not Specified, ABDOMEN, CHEST, whole body, NECK, HEAD","PT, CT","SIEMENS, GE MEDICAL SYSTEMS, TOSHIBA, CPS, CPS / MIMvista, Philips, Not Specified, SIEMENS / MIMvista",2019-10-09 13:57:50,2019-11-21 03:28:23,"2019-10-09, 2019-11-20, 2019-11-21"
APOLLO-5-BLCA,Not Specified,TCIA Embargo Attribution License,2,15,268,29329,12254829096,12.25 GB,"ABDOMEN, Not Specified, CHEST, EXTREMITY","MR, CT","SIEMENS, GE MEDICAL SYSTEMS, Siemens Healthineers",2023-01-27 14:23:23,2024-08-22 16:13:15,"2023-01-27, 2023-08-26, 2024-07-26, 2024-08-22"
APOLLO-5-BRCA,Not Specified,TCIA Embargo Attribution License,73,308,1971,133324,223634359274,223.63 GB,"Not Specified, CHEST, ABDOMEN, BRAIN, HEAD, TSPINE, CSPINE, BREAST, SPINE, LSPINE, NECK","CT, MR, NM, US, MG, PT","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, SIEMENS NM, Philips Medical Systems, SuperSonic Imagine SA, HOLOGIC, Inc., TOSHIBA_MEC, Invivo, GE Medical Systems",2022-06-16 10:50:19,2024-12-19 15:34:19,"2022-06-16, 2022-08-19, 2023-02-16, 2023-05-10, 2023-08-26, 2023-09-08, 2023-09-15, 2023-11-16, 2023-12-13, 2024-01-22, 2024-02-14, 2024-04-05, 2024-05-29, 2024-06-13, 2024-08-29, 2024-12-19"
APOLLO-5-CCRCC,Not Specified,TCIA Embargo Attribution License,20,413,2532,280904,147873453840,147.87 GB,"Not Specified, ABDOMEN, CHEST, RENALA, TSPINE, LSPINE, BRAIN, CSPINE, PELVIS, HIP, NECK, KIDNEY, HEAD, EXTREMITY, LIVER","CT, MR, PT, NM, US","GE MEDICAL SYSTEMS, Siemens Healthineers, SIEMENS, Philips, Philips Medical Systems, Picker International, Inc., SIEMENS NM, GE Healthcare, TOSHIBA",2022-08-19 14:35:17,2024-08-22 16:13:20,"2022-08-19, 2022-08-23, 2022-09-01, 2022-09-22, 2022-09-29, 2022-12-14, 2022-12-20, 2023-01-03, 2023-01-06, 2023-08-26, 2023-11-08, 2023-12-13, 2023-12-17, 2024-02-14, 2024-03-12, 2024-03-26, 2024-04-09, 2024-07-12, 2024-07-26, 2024-08-07, 2024-08-22"
APOLLO-5-CHOL,Not Specified,TCIA Embargo Attribution License,5,89,1053,86773,37356258722,37.36 GB,"ABDOMEN, Not Specified, CHEST","MR, CT, PT, US","SIEMENS, GE MEDICAL SYSTEMS, Siemens Healthineers, SAMSUNG MEDISON CO.,LTD.",2022-06-27 07:27:21,2024-08-27 20:30:51,"2022-06-27, 2022-09-01, 2022-10-25, 2022-12-13, 2023-02-16, 2023-04-25, 2023-08-22, 2024-03-26, 2024-04-01, 2024-08-22, 2024-08-27"
APOLLO-5-CM,Not Specified,TCIA Embargo Attribution License,8,275,1604,220112,115698673258,115.70 GB,"ABDOMEN, CHEST, Not Specified, NECK, SHOULDER, CSPINE, HEAD, BRAIN, WHOLEBODY, HIP, TSPINE, BREAST, PELVIS","CT, MR, PT, NM, US, MG","SIEMENS, GE MEDICAL SYSTEMS, SIEMENS NM, Siemens Healthineers, SIEMENS / MIM Software, Siemens, Philips Medical Systems, HOLOGIC, Inc.",2022-06-27 07:23:42,2024-08-22 16:13:20,"2022-06-27, 2022-08-18, 2022-08-19, 2022-08-23, 2022-10-27, 2022-12-14, 2022-12-20, 2023-01-06, 2023-01-17, 2023-02-16, 2023-08-22, 2023-08-26, 2023-08-28, 2023-12-17, 2023-12-20, 2024-08-22"
APOLLO-5-COAD,Not Specified,TCIA Embargo Attribution License,49,960,6575,697464,338744044218,338.74 GB,"Not Specified, ABDOMEN, CHEST, PELVIS, WHOLEBODY, ABDOMENPELVIS, LIVER, HEAD, CHESTABDPELVIS, CHESTABDOMEN, RECTUM, SPINE","MR, PT, CT, US","SIEMENS, GE MEDICAL SYSTEMS, Siemens Healthineers, Philips, TOSHIBA, TOSHIBA_MEC, Siemens, SIEMENS / MIM Software, Philips Medical Systems, GE MEDICAL SYSTEMS / MIM Software",2022-06-16 11:17:16,2024-12-19 15:34:20,"2022-06-16, 2022-06-27, 2022-06-30, 2022-08-19, 2022-08-23, 2022-08-25, 2022-09-01, 2022-10-06, 2022-10-19, 2022-10-27, 2022-11-02, 2022-12-12, 2022-12-13, 2023-01-03, 2023-01-17, 2023-01-20, 2023-01-27, 2023-02-16, 2023-04-25, 2023-05-09, 2023-05-12, 2023-05-17, 2023-08-22, 2023-08-26, 2023-11-08, 2023-12-17, 2023-12-20, 2024-02-21, 2024-03-20, 2024-04-09, 2024-07-12, 2024-07-26, 2024-08-22, 2024-08-27, 2024-09-05, 2024-11-25, 2024-12-16, 2024-12-19"
APOLLO-5-ENDOCRINE-MISC,Not Specified,TCIA Embargo Attribution License,1,2,5,552,547146632,547.15 MB,"ABDOMEN, Not Specified","CT, US",SIEMENS,2023-01-20 14:48:01,2023-01-20 14:50:45,2023-01-20
APOLLO-5-ESCA,Not Specified,TCIA Embargo Attribution License,1,16,90,10917,5747384836,5.75 GB,"Not Specified, CHEST, ABDOMEN","CT, PT","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers",2022-09-29 13:55:13,2023-08-26 16:13:37,"2022-09-29, 2023-08-26"
APOLLO-5-GIST,Not Specified,TCIA Embargo Attribution License,5,33,177,25563,13300568028,13.30 GB,"Not Specified, ABDOMEN, CHEST","CT, PT, MR, US","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, Philips Medical Systems",2022-08-23 14:04:31,2024-08-07 15:11:37,"2022-08-23, 2022-10-19, 2023-12-20, 2024-07-26, 2024-08-07"
APOLLO-5-HEME-OTHER,Not Specified,TCIA Embargo Attribution License,2,15,103,16757,6353326972,6.35 GB,"WHOLEBODY, Not Specified, ABDOMEN","PT, CT","SIEMENS, GE MEDICAL SYSTEMS, Philips, SIEMENS / MIM Software, Philips Medical Systems, Siemens Healthineers",2024-08-07 13:40:45,2024-08-07 15:11:56,2024-08-07
APOLLO-5-HNSCC,Not Specified,TCIA Embargo Attribution License,16,175,1281,156625,77657715880,77.66 GB,"ABDOMEN, NECK, Not Specified, BRAIN, CHEST, SPINE, HEAD, TSPINE, WHOLEBODY","CT, PT, MR, NM, US","SIEMENS, GE MEDICAL SYSTEMS, Philips, Siemens Healthineers, TOSHIBA, SIEMENS NM, GE MEDICAL SYSTEMS / MIM Software, Siemens, Philips Medical Systems, SIEMENS / MIM Software, GE Healthcare",2022-06-16 12:40:21,2024-08-07 15:11:55,"2022-06-16, 2022-06-30, 2022-09-01, 2022-12-12, 2022-12-13, 2022-12-14, 2023-01-10, 2023-08-26, 2023-12-13, 2023-12-17, 2023-12-20, 2024-02-21, 2024-02-28, 2024-07-26, 2024-08-07"
APOLLO-5-KICH,Not Specified,TCIA Embargo Attribution License,2,33,171,21299,12929040446,12.93 GB,"Not Specified, ABDOMEN, ABDOMENPELVIS, CHEST","CT, MR","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, Philips",2023-01-27 14:32:54,2024-08-22 16:13:13,"2023-01-27, 2023-08-22, 2024-08-22"
APOLLO-5-KIRP,Not Specified,TCIA Embargo Attribution License,5,48,286,36295,19373798242,19.37 GB,"Not Specified, ABDOMEN","CT, MR, US","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, Philips Medical Systems, GE Healthcare",2023-01-10 13:03:36,2024-08-22 16:13:14,"2023-01-10, 2023-01-27, 2023-08-22, 2023-11-08, 2023-12-13, 2024-02-14, 2024-08-22"
APOLLO-5-LIHC,Not Specified,TCIA Embargo Attribution License,6,115,1156,118480,52844675048,52.84 GB,"Not Specified, CHEST, ABDOMEN","CT, MR, NM, PT, US","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, GE MEDICAL SYSTEMS, CT, GE MEDICAL SYSTEMS, NUCLEAR, Siemens, Philips, GE MEDICAL SYSTEMS / MIM Software, Philips Medical Systems",2022-09-01 08:39:43,2024-08-27 20:30:42,"2022-09-01, 2022-12-20, 2023-01-03, 2023-01-06, 2023-01-10, 2023-01-17, 2023-02-16, 2023-08-22, 2023-08-26, 2024-08-22, 2024-08-27"
APOLLO-5-LSCC,Not Specified,TCIA Embargo Attribution License,31,393,2289,297987,150332763954,150.33 GB,"Not Specified, ABDOMEN, CHEST, HEART, ABDOMENPELVIS, CHESTABDPELVIS, NECK","PT, CT, MR","SIEMENS, GE MEDICAL SYSTEMS, Siemens Healthineers, Siemens Healthcare, CPS, Philips, SIEMENS / MIM Software, GE MEDICAL SYSTEMS / MIM Software",2022-05-20 15:01:21,2024-09-06 16:19:37,"2022-05-20, 2022-06-07, 2022-06-30, 2022-08-19, 2022-08-25, 2022-08-26, 2022-09-01, 2022-09-29, 2022-10-11, 2022-10-12, 2022-10-13, 2022-10-20, 2022-10-27, 2022-12-14, 2023-01-03, 2023-01-10, 2023-01-20, 2023-02-16, 2023-04-25, 2023-05-12, 2023-08-22, 2023-08-26, 2023-11-08, 2024-03-20, 2024-08-22, 2024-08-27, 2024-09-05, 2024-09-06"
APOLLO-5-LUAD,Not Specified,TCIA Embargo Attribution License,62,914,5130,608797,310182059304,310.18 GB,"WHOLEBODY, CHEST, ABDOMEN, Not Specified, CHESTABDPELVIS, CSPINE, NECK, SPINE, HEAD, TSPINE, LSPINE","PT, CT, MR, CR","CPS, GE MEDICAL SYSTEMS, SIEMENS, SIEMENS NM, Siemens Healthineers, TOSHIBA, Philips, SIEMENS / MIM Software, GE MEDICAL SYSTEMS / MIM Software, CARESTREAM HEALTH",2022-04-15 09:15:17,2024-12-19 15:26:23,"2022-04-15, 2022-05-20, 2022-06-07, 2022-06-27, 2022-06-30, 2022-08-19, 2022-08-25, 2022-08-26, 2022-08-31, 2022-09-01, 2022-09-06, 2022-09-22, 2022-09-27, 2022-09-28, 2022-09-29, 2022-10-11, 2022-10-13, 2022-10-20, 2022-11-01, 2022-12-12, 2022-12-14, 2023-01-06, 2023-01-10, 2023-02-16, 2023-05-12, 2023-05-17, 2023-08-22, 2023-08-26, 2023-12-13, 2024-01-31, 2024-03-20, 2024-08-22, 2024-08-27, 2024-12-16, 2024-12-19"
APOLLO-5-LUNG-MISC,Not Specified,TCIA Embargo Attribution License,5,39,216,28890,14079571182,14.08 GB,"Not Specified, ABDOMEN, CHEST","CT, PT","GE MEDICAL SYSTEMS, CPS, SIEMENS, Siemens Healthineers",2022-09-06 11:21:28,2024-12-19 15:34:20,"2022-09-06, 2022-09-29, 2022-10-11, 2022-10-20, 2022-10-27, 2023-02-16, 2024-12-19"
APOLLO-5-MESO,Not Specified,TCIA Embargo Attribution License,1,33,164,20987,11098450238,11.10 GB,"Not Specified, ABDOMEN, TSPINE","CT, PT, MR, NM","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, SIEMENS NM",2023-12-20 14:13:55,2024-01-17 15:19:37,"2023-12-20, 2024-01-17"
APOLLO-5-MISC,Not Specified,TCIA Embargo Attribution License,6,118,569,55697,31880301736,31.88 GB,"CHEST, ABDOMEN, Not Specified, NECK, HEAD, BRAIN","CT, MR, PT","SIEMENS, Siemens Healthineers, GE MEDICAL SYSTEMS",2022-12-12 09:32:11,2024-08-27 20:30:48,"2022-12-12, 2023-01-27, 2023-04-25, 2024-02-14, 2024-04-09, 2024-08-22, 2024-08-27"
APOLLO-5-MSG,Not Specified,TCIA Embargo Attribution License,1,6,56,8020,4120968388,4.12 GB,"Not Specified, ABDOMEN, NECK, HEAD","CT, PT","GE MEDICAL SYSTEMS, SIEMENS",2023-01-10 13:00:37,2023-01-10 14:40:39,2023-01-10
APOLLO-5-NET,"Not Specified, Not Specified",TCIA Embargo Attribution License,23,466,4348,363658,148860644666,148.86 GB,"Not Specified, ABDOMEN, CHEST, HEAD, NECK, PELVIS, WHOLEBODY, LIVER, SHOULDER, LSPINE, SPINE","CT, PT, MR, XA, NM, US","GE MEDICAL SYSTEMS, SIEMENS, Siemens, Siemens Healthineers, CPS, TOSHIBA, SIEMENS NM, Philips Medical Systems, SIEMENS / MIM Software, GE MEDICAL SYSTEMS / MIM Software, Riverain Technologies",2022-08-23 11:41:31,2024-12-16 04:15:09,"2022-08-23, 2022-09-01, 2022-09-06, 2022-10-11, 2022-10-20, 2022-10-24, 2022-12-13, 2022-12-14, 2023-01-03, 2023-01-17, 2023-02-16, 2023-05-09, 2023-05-12, 2023-08-22, 2023-08-26, 2024-01-31, 2024-02-01, 2024-03-12, 2024-03-26, 2024-07-10, 2024-07-12, 2024-07-26, 2024-08-07, 2024-08-27, 2024-08-28, 2024-11-25, 2024-12-16"
APOLLO-5-NONCANCER,Not Specified,TCIA Embargo Attribution License,5,7,49,4401,1522219588,1.52 GB,"Not Specified, CHEST, NECK","MR, CT, PT, NM","GE MEDICAL SYSTEMS, SIEMENS",2022-10-06 10:12:22,2023-01-25 12:04:55,"2022-10-06, 2023-01-20, 2023-01-25"
APOLLO-5-OV,"Not Specified, Not Specified",TCIA Embargo Attribution License,46,374,2056,267960,132409897238,132.41 GB,"CHEST, CHESTABDOMEN, ABDOMENPELVIS, CHESTABDPELVIS, Not Specified, ABDOMEN, FEMUR","CT, PT, MR, US","GE MEDICAL SYSTEMS, SIEMENS, Siemens Healthineers, Philips Medical Systems, SIEMENS / MIM Software, GE Healthcare, TOSHIBA, SAMSUNG MEDISON CO.,LTD.",2022-03-16 15:17:27,2024-12-19 15:34:18,"2022-03-16, 2022-06-16, 2022-06-30, 2022-08-23, 2022-10-06, 2023-01-20, 2023-04-25, 2023-07-12, 2023-07-21, 2023-07-26, 2023-08-22, 2023-08-24, 2023-12-05, 2023-12-17, 2024-02-21, 2024-03-26, 2024-04-30, 2024-05-08, 2024-11-25, 2024-12-16, 2024-12-19"
APOLLO-5-PAAD,Not Specified,TCIA Embargo Attribution License,5,58,400,41860,23122665690,23.12 GB,"ABDOMEN, Not Specified, LSPINE, CHEST","CT, MR, US, PT","SIEMENS, GE MEDICAL SYSTEMS, Philips Medical Systems, Siemens Healthineers",2022-12-20 06:34:18,2024-08-27 20:30:40,"2022-12-20, 2023-01-27, 2023-05-09, 2023-08-22, 2024-04-09, 2024-08-27"
APOLLO-5-PRAD,Not Specified,TCIA Embargo Attribution License,15,69,920,73567,28445505336,28.45 GB,"Not Specified, WHOLEBODY, PELVIS, ABDOMEN, PROSTATE, CHEST, SHOULDER, TSPINE, SPINE","CT, US, PT, MR, NM","Philips, B-K Medical, SIEMENS, SIEMENS / MIM Software, GE MEDICAL SYSTEMS, BK Medical, Siemens Healthineers, TOSHIBA, Siemens, SIEMENS NM",2023-01-27 15:47:47,2024-12-16 04:15:06,"2023-01-27, 2023-02-16, 2023-04-25, 2023-05-12, 2023-11-08, 2023-12-13, 2024-01-31, 2024-02-21, 2024-02-28, 2024-03-12, 2024-03-18, 2024-04-09, 2024-08-27, 2024-11-25, 2024-12-16"
APOLLO-5-SAR,Not Specified,TCIA Embargo Attribution License,11,320,1885,199546,96433281410,96.43 GB,"Not Specified, HUMERUS, ABDOMEN, CHEST, ABDOMENPELVIS, LEG, TIBIAFIBULA, HIP, LSPINE, TSPINE, PELVIS, WHOLEBODY, THIGH, LOWERLEG","CT, MR, NM, US, PT","GE MEDICAL SYSTEMS, SIEMENS, TOSHIBA, Siemens Healthineers, SIEMENS NM, GE Healthcare, Philips Medical Systems, Philips, GE MEDICAL SYSTEMS / MIM Software, SIEMENS / MIM Software",2022-08-19 19:52:10,2024-08-27 20:30:47,"2022-08-19, 2022-08-23, 2022-12-12, 2023-02-16, 2023-05-09, 2023-05-17, 2023-08-26, 2023-11-08, 2023-12-05, 2023-12-13, 2023-12-20, 2024-02-14, 2024-03-12, 2024-03-26, 2024-08-22, 2024-08-27"
APOLLO-5-SKIN-MISC,Not Specified,TCIA Embargo Attribution License,1,2,10,728,346488848,346.49 MB,Not Specified,"CT, NM","GE MEDICAL SYSTEMS, SIEMENS NM",2024-03-12 09:00:47,2024-03-18 12:33:21,"2024-03-12, 2024-03-18"
APOLLO-5-STAD,Not Specified,TCIA Embargo Attribution License,1,8,66,10166,5042214294,5.04 GB,"Not Specified, LSPINE, WHOLEBODY, CHEST, ABDOMEN","CT, PT","GE MEDICAL SYSTEMS, SIEMENS, Riverain Technologies, SIEMENS / MIM Software",2023-12-05 10:18:01,2023-12-05 12:46:50,2023-12-05
APOLLO-5-TGCT,Not Specified,TCIA Embargo Attribution License,1,12,63,7989,4275484642,4.28 GB,"Not Specified, ABDOMEN","CT, US","GE MEDICAL SYSTEMS, SIEMENS, GE Healthcare",2024-11-25 03:54:06,2024-11-25 06:08:53,2024-11-25
APOLLO-5-THCA,Not Specified,TCIA Embargo Attribution License,3,59,188,66207,54786013568,54.79 GB,"CARDIAC, NECK, Not Specified, ABDOMEN, CHEST","PT, US, CT, NM","SIEMENS, Philips Medical Systems, SIEMENS NM, GE MEDICAL SYSTEMS, SAMSUNG MEDISON CO.,LTD., Siemens Healthineers",2022-08-19 19:07:31,2024-08-27 20:30:50,"2022-08-19, 2023-01-17, 2023-05-17, 2024-02-14, 2024-08-27"
APOLLO-5-THYM,Not Specified,TCIA Embargo Attribution License,1,26,165,22179,11595437322,11.60 GB,"CHEST, Not Specified, ABDOMEN","CT, MR, PT","SIEMENS, GE MEDICAL SYSTEMS, Siemens Healthineers",2022-06-07 09:02:38,2022-10-13 17:04:18,"2022-06-07, 2022-10-13"
